"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4628","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","2.736745","0","7"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","6","1","3.843776","0","11"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","3.495613","0","9"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","3.887291","0","5"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","3","1","13.399720","0","166"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","1","1","1.847458","0","13"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","1","1","102.716644","0","10392"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","1","1","2.862570","0","19"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","1","1","2.734710","0","19"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","1","1","9.345183","0","118"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","1","1","19.194281","0","416"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","1","1","2.602712","0","19"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","1","1","6.030539","0","75"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","1","1","4.299418","0","53"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","1","1","2.017906","0","11"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","1","1","3.477988","0","34"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","1","1","3.087814","0","23"
"/Game/ThirdPerson/Meshes/lambert2.lambert2","0","14","1","1","9.695489","0","118"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","0","30","1","1","19.686754","0","568"
"/Game/TwinStick/Meshes/BaseMaterial.BaseMaterial","0","37","1","1","25.873867","0","508"
